#SMILES,NAME,Tg,1E,2E,4E,1iso,2iso,4iso,1w,2w,4w,1V,2V,4V,1D,2D,4D,1Dk,2Dk,4Dk,1HOMO,1LUMO,1gap,2HOMO,2LUMO,2gap,4HOMO,4LUMO,4gap,num
O=C(OCCCC)C([*])C[*],butyl acrylate,219,-30.27995267,-59.5605656,-118.1183999,55.73499215,110.7258393,219.9137122,130.182,258.3479,514.6799,193.329575,348.952209,636.184143,0.6735,0.7404,0.8091,1.362371076,1.403745543,1.445231101,-10.82366167,0.893732097,11.71739377,-10.64683835,0.83322389,11.48006224,-10.7489971,0.673136895,11.42213399,Tg_001
O=C(OC(C)CC)C([*])C[*],sec-butyl acrylate,250,-30.28397744,-59.57076267,-118.1338161,56.14058242,110.0848082,222.2676722,130.182,258.3479,514.6799,193.61441,350.745453,651.621094,0.6724,0.7366,0.79,1.364716491,1.398772709,1.438497444,-10.78233309,0.927966858,11.71029994,-10.60126468,0.9231777,11.52444238,-10.63188564,0.725493141,11.35737878,Tg_002
O=C(OC(C)(C)C)C([*])C[*],tert-butyl acrylate,346,-30.287786,-59.57553664,-118.1485929,55.51,109.7113807,220.7020814,130.182,258.3479,514.6799,192.904678,347.92807,643.607239,0.6749,0.7426,0.7998,1.361589793,1.400883689,1.441132294,-10.56047223,1.042468734,11.60294096,-10.40826547,1.003855246,11.41212072,-10.4212818,0.827863268,11.24914507,Tg_003
O=C(OC1=C(C(C)(C)C)C=CC=C1)C([*])C[*],2-tert-butylphenyl acrylate,345,-45.16681389,-89.33629729,-177.6730573,105.8538409,207.804431,411.9852002,206.2739,410.5319,819.048,266.033752,487.611053,911.939209,0.7755,0.8421,0.8982,1.524265212,1.568469147,1.609568413,-9.398006636,0.087302537,9.485309173,-9.267612831,0.129234881,9.396847712,-9.217625383,-0.071859775,9.145765608,Tg_004
O=C(OC1=CC=C(C(C)(C)C)C=C1)C([*])C[*],4-tert-butylphenyl acrylate,344,-45.16884875,-89.34279355,-177.6901649,108.8049436,206.1024167,405.3227341,206.2739,410.5319,819.048,268.479736,485.802399,909.330444,0.7683,0.8451,0.9007,1.535598705,1.565452428,1.599812527,-9.212572705,0.103754777,9.316327482,-9.024137264,0.148853471,9.172990735,-9.021893424,-0.015973151,9.005920273,Tg_005
O=C(OCC#N)C([*])C[*],cyanomethyl acrylate,433,-25.29218039,-49.5864053,-98.17120889,48.37456452,93.10062818,184.3083741,113.116,224.2159,446.416,125.756744,217.00351,396.348083,0.8996,1.0334,1.1264,1.503950165,1.57304256,1.631219888,-11.48775599,0.07124998,11.55900597,-11.27377941,0.074752537,11.34853195,-11.40459121,-0.216155537,11.18843567,Tg_006
O=C(OCC)C([*])C[*],ethyl acrylate,248,-23.95062873,-46.90327756,-92.80126341,42.80183251,83.77670271,167.4548137,102.13,202.2439,402.4719,149.086746,261.39798,474.864746,0.685,0.7737,0.8478,1.360655329,1.408338211,1.455649988,-10.83116799,0.871924749,11.70309274,-10.71566002,0.874398048,11.59005807,-10.72296657,0.658296536,11.3812631,Tg_007
O=C(OC(CCCCC)C)C([*])C[*],2-heptyl acrylate,235,-39.77719615,-78.55664193,-156.1092225,75.2037535,149.4164123,300.1610715,172.2599,342.5038,682.9919,259.769623,474.823364,886.451782,0.6633,0.7214,0.7706,1.364096251,1.400018662,1.434858385,-10.75978847,0.951159306,11.71094777,-10.56712343,0.904116488,11.47123992,-10.58576599,0.681281758,11.26704775,Tg_008
O=C(OC1=C(C(OC)=O)C=CC=C1)C([*])C[*],2-methoxycarbonylphenyl acrylate,319,-45.95610603,-90.92094584,-180.8368976,102.6452564,191.8183659,394.1309687,208.2059,414.396,826.7762,219.676453,398.165283,734.257385,0.9478,1.0408,1.1261,1.634900341,1.658919315,1.753228239,-9.929118738,-0.676177865,9.252940873,-9.67396623,-0.7299578,8.94400843,-9.754641095,-0.83903651,8.915604584,Tg_009
O=C(OC1=CC(C(OC)=O)=CC=C1)C([*])C[*],3-methoxycarbonylphenyl acrylate,311,-45.95480854,-90.92264927,-180.8465135,106.2419473,195.3726089,384.4594084,208.2059,414.396,826.7762,220.089386,399.428955,742.209717,0.9461,1.0375,1.114,1.660625387,1.671285507,1.720459343,-9.848417217,-0.792170331,9.056246887,-9.639694455,-0.791066383,8.848628071,-9.668262687,-0.770980391,8.897282296,Tg_010
O=C(OC1=CC=C(C(OC)=O)C=C1)C([*])C[*],4-methoxycarbonylphenyl acrylate,340,-45.95556693,-90.92344576,-180.8461843,108.12664,197.342625,404.5216276,208.2059,414.396,826.7762,219.630447,398.560333,756.825562,0.948,1.0397,1.0925,1.676596016,1.681363304,1.749095161,-9.940667132,-0.777588766,9.163078366,-9.711292013,-0.798212872,8.913079142,-9.887522688,-0.923522409,8.964000279,Tg_011
O=C(OCCCCC)C([*])C[*],n-pentyl acrylate,216,-33.44388306,-65.89100078,-130.7767989,62.10876794,123.8131725,247.0283415,144.2079,286.3998,570.7839,215.124039,390.975708,712.188477,0.6704,0.7326,0.8016,1.362950754,1.402859398,1.447003905,-10.82093019,0.895288713,11.71621891,-10.66470543,0.874866987,11.53957242,-10.74828741,0.620520962,11.36880837,Tg_012
